Districts_N,Area,Category_N,Crop_N,Year,Rainfall,Max_Temp,Min_Temp,Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
23,6220,3,6,1996,9.25,29.775,13.65,79,0.5,1.2,7.85,491982.91,683166,24.15,89.55,10,52811.6721
10,323480,3,1,1986,55.3333333333333,30.0333333333333,15.0666666666667,78,0.833333333333333,1.73333333333333,6.56666666666667,420062.7,562498.8,23.17,89.22,7,199935
3,209065,3,2,1979,683,36.55,26.15,87,1.6,6.1,4.5,435303.7,751187.5,24.88,89.36,20,65820
16,93967,2,1,2013,0,30.6,18.2,79,2.9,1.2,6.7,610851.8,524433.6,22.83,91.08,6,105668
1,1930,3,1,2003,22,31.8333333333333,16.6333333333333,77.3333333333333,0.166666666666667,1.16666666666667,8.23333333333333,684570.9,471415,22.34,91.79,6,1510
13,196300,3,1,2001,5.66666666666667,29.4333333333333,15.1666666666667,80.6666666666667,0.433333333333333,1.43333333333333,7.13333333333333,540975.3,737535.8,24.75,90.41,19,122880
10,317765,3,1,1987,5,30.3,14.8,76.3333333333333,0.733333333333333,1.76666666666667,6.2,420062.7,562498.8,23.17,89.22,7,170005
1,0,3,6,1989,32.25,30.525,17.175,75.5,0.95,1.85,7.05,684570.9,471415,22.34,91.79,6,0
18,120,4,2,1993,679,32.75,26.35,90.5,1.35,6,3.1,534986.1,472575.7,22.36,90.34,3,70
1,0,5,3,1992,233,35.4,24.9666666666667,79.3333333333333,3.63333333333333,4.36666666666667,6.33333333333333,684570.9,471415,22.34,91.79,6,0
5,184790,2,3,1975,179,35.3666666666667,24.4,75.3333333333333,4.93333333333333,4.26666666666667,6.43535353535354,621445.2,596963.4,23.48,91.19,10,191770
4,80845,2,2,1984,564,34,24.45,85,5.95,6.8,4.5,684570.9,471415,22.34,91.79,6,66544
14,119210,1,1,1969,19.6666666666667,29.3333333333333,13.4666666666667,71.3333333333333,1.06666666666667,1.7,8.86666666666667,420062.7,562498.8,23.17,89.22,7,51065
23,202170,3,2,1988,295,34,26.5,86,2.55,5.95,3.7,491982.91,683166,24.15,89.55,10,63840
14,40000,2,1,1979,20,30.1666666666667,15.5,71,0.966666666666667,1.56666666666667,7.6,420062.7,562498.8,23.17,89.22,7,36740
15,178995,3,1,2011,6,29.5666666666667,14.3,81.6666666666667,1.1,1.7,5.56666666666667,540975.3,737535.8,24.75,90.41,19,114720
15,159130,2,1,1993,2.66666666666667,29.5666666666667,15.1666666666667,75,0.566666666666667,1.33333333333333,7.26666666666667,540975.3,737535.8,24.75,90.41,19,139880
10,78490,2,2,1998,195,35.2,26.6,87.5,1.05,6.15,3.45,420062.7,562498.8,23.17,89.22,7,62840
9,351410,2,3,1998,212,36,24.5333333333333,83,1.83333333333333,4.96666666666667,5.33333333333333,540975.3,737535.8,24.75,90.41,19,442310
9,45469,5,3,2009,198.333333333333,36.3666666666667,24.4666666666667,82,1.06666666666667,4.56666666666667,5.86666666666667,540975.3,737535.8,24.75,90.41,19,103290
21,0,4,1,1973,5.33333333333333,27.3,13.3666666666667,84.6666666666667,0.766666666666667,1.43333333333333,7.02666666666667,426172.9,844822.3,25.72,89.26,34,0
21,0,1,1,2007,16,28.9333333333333,14.4666666666667,80.3333333333333,0.566666666666667,1.13333333333333,6.3,426172.9,844822.3,25.72,89.26,34,0
8,6100,2,1,1984,12.3333333333333,30.1,15,75.3333333333333,0.5,0.666666666666667,7.55172413793103,483877.3,610719.3,23.61,89.84,9,4210
8,78139,2,1,2009,0,30.3333333333333,14.7,78,1.53333333333333,1.23333333333333,6.23333333333333,483877.3,610719.3,23.61,89.84,9,92789
22,483450,3,1,1995,12.3703703703704,29.4259259259259,15.0740740740741,75.1851851851852,1.08518518518519,1.74814814814815,7.63703703703704,694533.2,752277.9,24.88,91.93,35,270690
22,4395,2,5,1983,8,30.1,14.2,71,0.925,1.5,8.225,694533.2,752277.9,24.88,91.93,35,23773.51977
19,59600,3,6,1977,22.5,30.575,14.9,70,0.65,1.525,7.53214285714286,353944.9,693386.6,24.35,88.56,20,35830.58655
8,144370,3,6,1984,9.75,30.575,14.725,72.75,0.525,0.725,7.61379310344828,483877.3,610719.3,23.61,89.84,9,154560.39665
16,181290,3,2,1977,659.5,30.65,25.4,87,1.75,6.2,4.10862068965518,610851.8,524433.6,22.83,91.08,6,57525
14,1530,2,3,1971,207.666666666667,35.3,17.4,75.6666666666667,3.16666666666667,4.56666666666667,6.76666666666667,420062.7,562498.8,23.17,89.22,7,1455
13,0,4,2,1993,501,33.4,26.25,85.5,2.3,6.3,3.75,540975.3,737535.8,24.75,90.41,19,0
13,8270,3,5,1989,22.25,29.575,13.925,76.75,0.475,1.35,7.05,540975.3,737535.8,24.75,90.41,19,18458.18095
9,36685,2,2,1985,250.5,33.7,26.15,84,2.05,6.55,3.9,540975.3,737535.8,24.75,90.41,19,35600
9,0,4,2,2013,330.5,34.55,26.5,84.5,2.3,6.75,3.8,540975.3,737535.8,24.75,90.41,19,0
16,46390,5,3,2007,332.666666666667,36.9333333333333,24.6,82.3333333333333,1.63333333333333,4.2,6.13333333333333,610851.8,524433.6,22.83,91.08,6,94847
3,140465,2,1,1985,2.33333333333333,29.8333333333333,14.3333333333333,73,0.5,0.933333333333333,8.26666666666667,435303.7,751187.5,24.88,89.36,20,135520
1,1310,3,1,1987,22,30.7,17.5,74.3333333333333,1.1,1.53333333333333,8.26666666666667,684570.9,471415,22.34,91.79,6,945
